,28-Jul-2020
The Nifty witnessed an intraday movement of about 166.35 points.The closing index was 1.52 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 60291.2
, Traded Quantity (in Lakhs), 32625.89
, Number of Trades, 16724918
, Total Market Capitalisation (Rs. Crores), 14733881.7

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11131.80,     11154.10,     11317.75,     11151.40,     11300.55,168.75
,NIFTY50 EQL Wgt,     11155.75,     11184.60,     11368.45,     11182.45,     11353.30,197.55
,NIFTY100 EQL Wgt,     12164.00,     12196.05,     12325.15,     12195.30,     12313.05,149.05
,NIFTY100 LowVol30,      8839.20,      8862.25,      9004.35,      8857.30,      8992.35,153.15
,NIFTY Alpha 50,     14652.35,     14730.95,     14799.50,     14668.05,     14714.60,62.25
,NIFTY MIDCAP 150,      5812.80,      5826.70,      5862.10,      5824.40,      5855.45,42.65
,NIFTY SMLCAP 50,      2378.60,      2394.50,      2415.20,      2390.65,      2410.30,31.7
,NIFTY SMLCAP 250,      4269.00,      4288.20,      4316.25,      4284.35,      4312.60,43.6
,NIFTY MIDSML 400,      5258.00,      5273.95,      5303.85,      5272.55,      5301.15,43.15
,NIFTY200 QUALTY30,      9815.40,      9841.30,      9938.90,      9837.10,      9928.45,113.05
,Nifty IT,     17626.75,     17647.90,     18103.65,     17634.40,     18042.75,416
,Nifty Next 50,     26134.30,     26207.40,     26349.10,     26194.60,     26309.75,175.45
,Nifty Bank,     21848.75,     21940.15,     22233.00,     21611.40,     22105.20,256.45
,NIFTY MIDCAP 100,     15323.80,     15362.35,     15479.20,     15351.35,     15460.10,136.3
,Nifty 500,      9024.90,      9045.45,      9153.00,      9043.90,      9141.75,116.85
,Nifty 100,     11231.30,     11255.05,     11404.50,     11253.15,     11388.40,157.1
,Nifty Midcap 50,      4224.95,      4231.20,      4285.00,      4227.25,      4280.65,55.7
,Nifty Realty,       195.10,       196.10,       198.70,       195.90,       198.25,3.15
,Nifty Infra,      3172.85,      3177.80,      3223.15,      3171.85,      3219.00,46.15
,Nifty Energy,     15903.05,     15925.45,     16029.35,     15916.15,     16001.95,98.9
,Nifty FMCG,     30819.75,     30891.00,     31047.10,     30764.30,     30910.90,91.15
,Nifty MNC,     13525.35,     13537.75,     13626.65,     13524.15,     13612.45,87.1
,Nifty Pharma,     10062.05,     10065.45,     10168.55,     10033.30,     10128.05,66
,Nifty PSE,      2556.90,      2559.60,      2573.35,      2549.30,      2566.00,9.1
,Nifty PSU Bank,      1393.75,      1397.35,      1407.75,      1382.50,      1398.25,4.5
,Nifty Serv Sector,     14555.10,     14589.60,     14835.15,     14528.25,     14801.20,246.1
,India VIX,25.0175,25.0175,25.2150,23.5450,23.6425,-1.3750
,Nifty Auto,      7186.45,      7193.15,      7438.05,      7185.25,      7416.90,230.45
,Nifty Metal,      2094.40,      2101.70,      2144.55,      2101.60,      2141.30,46.9
,Nifty Media,      1331.95,      1337.60,      1344.65,      1306.20,      1329.25,-2.7
,NIFTY SMLCAP 100,      4959.50,      4990.90,      5034.65,      4984.55,      5027.15,67.65
,Nifty 200,      5713.70,      5726.00,      5798.05,      5724.95,      5790.55,76.85
,Nifty Div Opps 50,      2413.35,      2418.95,      2445.65,      2416.65,      2441.70,28.35
,Nifty Commodities,      3000.50,      3009.10,      3059.05,      3007.90,      3055.30,54.8
,Nifty Consumption,      4933.50,      4940.75,      4988.80,      4931.95,      4984.55,51.05
,Nifty Fin Service,     10909.15,     10945.80,     11101.65,     10815.35,     11057.05,147.9
,Nifty50 Div Point,        32.57,        32.57,        32.57,        32.57,        32.57,0
,Nifty100 Liq 15,      2670.60,      2676.10,      2731.85,      2675.45,      2727.15,56.55
,Nifty CPSE,      1435.60,      1434.30,      1440.30,      1422.80,      1436.70,1.1
,Nifty GrowSect 15,      5352.60,      5370.80,      5442.75,      5336.55,      5426.50,73.9
,Nifty50 PR 2x Lev,      3944.10,      3959.50,      4075.50,      3959.50,      4063.30,119.2
,Nifty50 PR 1x Inv,       393.75,       393.00,       393.00,       387.20,       387.80,-5.95
,Nifty50 TR 2x Lev,      5195.40,      5215.75,      5368.55,      5215.75,      5352.45,157.05
,Nifty50 TR 1x Inv,       343.30,       342.60,       342.60,       337.60,       338.10,-5.2
,Nifty50 Value 20,      5484.55,      5496.45,      5585.40,      5489.85,      5573.40,88.85
,Nifty Mid Liq 15,      3576.85,      3576.20,      3619.40,      3569.20,      3614.65,37.8
,Nifty Pvt Bank,     12004.40,     12057.55,     12228.45,     11889.05,     12155.70,151.3
,NIFTY100 Qualty30,      2614.75,      2621.45,      2651.45,      2621.20,      2648.45,33.7
,Nifty GS 8 13Yr,      2205.00,      2205.39,      2205.95,      2203.23,      2204.47,-.53
,Nifty GS 10Yr,      1997.44,      1997.76,      1999.35,      1994.79,      1999.15,1.71
,Nifty GS 10Yr Cln,       974.76,       974.76,       975.54,       973.29,       975.44,.68
,Nifty GS 4 8Yr,      2348.34,      2348.75,      2348.75,      2346.74,      2347.49,-.85
,Nifty GS 11 15Yr,      2378.59,      2379.02,      2383.09,      2379.02,      2380.72,2.13
,Nifty GS 15YrPlus,      2637.00,      2637.47,      2639.70,      2635.20,      2635.20,-1.8
,Nifty GS Compsite,      2247.92,      2248.32,      2248.57,      2246.05,      2247.24,-.68

,ADVANCES,930
,DECLINES,939
,UNCHANGED,105

,Total securities that have hit their price bands today,443

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2156.20,      2177.70,1,5533.96
,ZENITHEXPO,EQ,        35.15,                    21065.00,597
,ZENSARTECH,EQ,       150.70,                 86771695.20,575308
,ZENTEC,EQ,        59.50,                113431801.15,1983033
,ZICOM,BE,         1.75,                    79375.70,45192
,ZODIAC,SM,        17.60,                   139300.00,8000
,ZODIACLOTH,EQ,       115.55,                   206403.00,1774
,ZODJRDMKJ,BE,        26.10,                    41762.20,1578
,ZOTA,EQ,       140.05,                   955433.90,6797
,ZUARI,EQ,        85.55,                   705632.30,8191
,ZUARIGLOB,EQ,        49.25,                   450879.55,9144
,ZYDUSWELL,EQ,      1623.70,                133662021.75,83274
